wav_file,json_decibel,wav_peak_spl,wav_rms_spl,json_direction,wav_predicted_direction,spl_difference_peak,spl_difference_rms,match_direction
1.자동차_1250_1.wav,94.0,88.4,73.2,우,중앙,5.6,20.8,False
1.자동차_1253_1.wav,75.0,78.9,65.6,좌,중앙,3.9,9.4,False
1.자동차_1256_1.wav,79.0,86.8,71.4,우,중앙,7.8,7.6,False
1.자동차_1258_1.wav,71.0,85.3,67.4,우,중앙,14.3,3.6,False
1.자동차_1259_1.wav,105.0,92.2,73.0,우,중앙,12.8,32.0,False
1.자동차_1266_1.wav,83.0,89.7,71.4,우,중앙,6.7,11.6,False
1.자동차_1267_1.wav,69.0,83.8,70.8,우,중앙,14.8,1.8,False
1.자동차_1270_1.wav,108.0,90.5,72.5,좌,중앙,17.5,35.5,False
1.자동차_1272_1.wav,68.0,88.4,71.5,우,중앙,20.4,3.5,False
1.자동차_1273_1.wav,72.0,80.3,65.4,좌,중앙,8.3,6.6,False
1.자동차_1274_1.wav,71.0,80.9,65.2,좌,중앙,9.9,5.8,False
1.자동차_1275_1.wav,122.0,91.1,73.0,우,중앙,30.9,49.0,False
1.자동차_1276_1.wav,68.0,85.6,70.9,우,중앙,17.6,2.9,False
1.자동차_1277_1.wav,108.0,91.0,73.7,우,좌,17.0,34.3,False
1.자동차_127_1.wav,111.0,94.0,81.5,좌,좌,17.0,29.5,True
1.자동차_1281_1.wav,71.0,84.2,68.2,우,좌,13.2,2.8,False
1.자동차_1283_1.wav,116.0,89.5,70.9,우,중앙,26.5,45.1,False
1.자동차_1284_1.wav,80.0,88.1,70.9,우,중앙,8.1,9.1,False
1.자동차_1287_1.wav,100.0,94.0,78.3,좌,중앙,6.0,21.7,False
1.자동차_128_1.wav,74.0,78.2,63.8,우,중앙,4.2,10.2,False
1.자동차_1290_1.wav,79.0,86.5,72.4,우,중앙,7.5,6.6,False
1.자동차_1291_1.wav,73.0,85.3,65.7,우,중앙,12.3,7.3,False
1.자동차_1294_1.wav,110.0,88.3,71.9,우,중앙,21.7,38.1,False
1.자동차_1295_1.wav,83.0,87.5,69.4,우,중앙,4.5,13.6,False
1.자동차_1296_1.wav,74.0,84.7,70.6,우,중앙,10.7,3.4,False
1.자동차_1298_1.wav,119.0,91.8,73.3,좌,중앙,27.2,45.7,False
1.자동차_129_1.wav,69.0,88.5,71.9,우,우,19.5,2.9,True
1.자동차_12_1.wav,70.0,82.5,68.2,우,중앙,12.5,1.8,False
1.자동차_1300_1.wav,103.0,89.2,73.8,우,중앙,13.8,29.2,False
1.자동차_1301_1.wav,74.0,82.0,68.1,우,중앙,8.0,5.9,False
1.자동차_1302_1.wav,98.0,91.2,69.6,우,중앙,6.8,28.4,False
1.자동차_1303_1.wav,119.0,89.3,74.1,우,중앙,29.7,44.9,False
1.자동차_1304_1.wav,108.0,89.5,73.8,우,중앙,18.5,34.2,False
1.자동차_1305_1.wav,72.0,83.6,68.7,우,중앙,11.6,3.3,False
1.자동차_1306_1.wav,69.0,83.0,68.1,우,중앙,14.0,0.9,False
1.자동차_1307_1.wav,72.0,83.2,67.2,우,중앙,11.2,4.8,False
1.자동차_1308_1.wav,69.0,84.9,63.1,우,중앙,15.9,5.9,False
1.자동차_1309_1.wav,119.0,92.2,72.6,우,좌,26.8,46.4,False
1.자동차_1312_1.wav,74.0,85.4,71.6,우,중앙,11.4,2.4,False
1.자동차_1313_1.wav,80.0,88.1,73.6,우,중앙,8.1,6.4,False
1.자동차_1314_1.wav,114.0,91.2,72.6,좌,중앙,22.8,41.4,False
1.자동차_1316_1.wav,118.0,88.3,75.7,우,좌,29.7,42.3,False
1.자동차_131_1.wav,73.0,81.8,67.0,우,중앙,8.8,6.0,False
1.자동차_1322_1.wav,70.0,86.3,70.5,우,중앙,16.3,0.5,False
1.자동차_1323_1.wav,76.0,87.6,73.5,좌,중앙,11.6,2.5,False
1.자동차_1324_1.wav,109.0,94.0,73.2,좌,중앙,15.0,35.8,False
1.자동차_1326_1.wav,111.0,87.5,72.3,좌,중앙,23.5,38.7,False
1.자동차_1327_1.wav,121.0,90.2,73.4,좌,중앙,30.8,47.6,False
1.자동차_1329_1.wav,74.0,88.0,70.6,좌,중앙,14.0,3.4,False
1.자동차_1330_1.wav,105.0,93.5,77.2,우,중앙,11.5,27.8,False
1.자동차_1331_1.wav,103.0,88.4,67.8,우,중앙,14.6,35.2,False
1.자동차_133_1.wav,114.0,90.4,77.2,좌,중앙,23.6,36.8,False
1.자동차_1342_1.wav,101.0,87.3,73.2,우,중앙,13.7,27.8,False
1.자동차_1343_1.wav,75.0,86.6,68.3,우,중앙,11.6,6.7,False
1.자동차_1349_1.wav,106.0,89.7,71.5,우,중앙,16.3,34.5,False
1.자동차_1350_1.wav,73.0,85.5,71.5,우,중앙,12.5,1.5,False
1.자동차_1351_1.wav,87.0,88.7,67.4,우,중앙,1.7,19.6,False
1.자동차_1354_1.wav,95.0,90.3,71.5,우,중앙,4.7,23.5,False
